ydeg ymin ysec xdeg xmin xsec sourcedist
18 27 45 69 18 15 4
18 27 45 69 18 45 5
18 27 15 69 17 15 1
18 27 15 69 17 45 2
18 27 45 69 18 45 1
18 27 45 69 18 45 1
18 27 45 69 18 15 2
18 27 45 69 17 45 3
18 27 15 69 17 45 4
18 27 15 69 17 15 5
18 29 45 69 21 15 1
18 29 45 69 21 45 2
18 29 15 69 21 45 3
18 29 15 69 22 15 4
18 29 15 69 22 45 5
18 29 15 69 23 15 6
18 28 45 69 23 15 7
18 28 45 69 23 45 8
18 28 45 69 24 15 9
18 28 45 69 24 45 10
18 28 45 69 25 15 11
18 28 45 69 25 45 12
18 28 45 69 26 15 13
18 29 15 69 26 15 14
18 29 15 69 26 45 15
18 29 15 69 27 15 16
18 29 15 69 27 45 17
18 29 15 69 28 15 18
18 28 45 69 28 15 19
18 28 45 69 28 45 20
18 28 45 69 29 15 21
18 29 45 69 21 15 1
18 29 45 69 20 45 2
18 56 45 68 48 15 1
18 56 45 68 47 45 2
18 56 15 68 47 45 3
18 56 15 68 47 15 4
18 56 15 68 46 45 5
18 56 15 68 46 15 6
18 56 15 68 45 45 7
18 56 45 68 45 45 8
18 56 15 68 45 45 9
18 56 15 68 45 15 10
18 56 15 68 44 45 11
18 55 45 68 44 45 12
18 55 15 68 44 45 13
18 55 15 68 44 15 14
