ydeg ymin ysec xdeg xmin xsec sourcedist
18 41 15 70 9 45 35
19 10 15 69 53 45 143
18 23 15 72 58 45 36
19 53 45 72 49 15 176
18 21 45 72 31 45 88
19 40 45 72 8 45 142
19 23 45 71 46 15 33
18 53 15 70 27 45 78
18 19 15 72 39 15 98
19 5 45 70 35 45 77
18 16 15 70 11 15 6
18 29 45 74 16 45 92
18 34 15 70 30 15 50
18 18 15 72 53 45 107
18 28 15 72 30 45 97
19 6 15 69 41 45 201
18 52 45 71 6 45 1
19 9 15 72 12 45 7
19 33 45 71 52 45 115
19 3 45 70 35 15 84
18 45 45 71 34 15 5
18 20 15 72 26 15 40
18 16 45 70 35 15 111
18 26 45 73 51 15 3
19 39 45 71 50 45 8
18 15 15 72 6 45 40
18 15 45 72 8 15 8
18 26 45 72 26 45 76
19 15 15 72 29 15 9
18 56 45 71 41 15 138
18 11 45 72 47 45 47
19 12 15 72 44 15 536
19 30 15 72 19 15 1
18 47 45 72 11 15 78
18 23 15 72 15 15 34
18 26 45 74 20 45 129
18 25 15 72 10 45 79
18 53 45 72 5 15 354
18 54 15 72 1 45 350
18 27 45 73 8 15 5
18 32 45 72 6 15 1
19 54 15 72 42 15 4
18 19 15 74 9 15 49
19 45 45 72 44 45 102
18 11 45 72 58 45 37
18 34 45 74 13 45 181
19 6 15 72 0 45 35
18 52 45 71 21 15 35
18 25 15 73 35 45 67
19 32 45 71 52 45 109
19 34 45 72 51 15 13
18 44 15 71 59 45 17
19 10 45 69 40 15 217
18 39 15 74 14 45 105
18 25 45 72 31 15 36
18 51 15 71 56 15 45
19 28 45 72 35 15 56
18 10 45 71 47 45 2
18 20 15 71 11 15 195
18 11 15 72 48 15 138
18 40 45 71 52 45 1
18 29 15 69 10 15 62
18 58 15 72 22 15 48
19 47 45 73 9 15 35
18 30 45 70 33 45 74
19 50 45 71 0 45 125
19 40 15 72 23 45 14
19 39 15 71 20 15 292
18 48 45 72 7 45 95
18 56 45 70 21 15 22
19 37 45 70 33 45 40
