daysince2010 Centre Grand'Anse L'Artibonite Nippes Nord Nord-Est Nord-Ouest Ouest Port-au-Prince Sud Sud-Est
231 16.68087 3.573517 3.311161 0 0.9469515 0 0 17.49887 17.49887 0.08063492 0.697735
232 0.7019637 0 0 0 0 0 0 1.229722 1.229722 0 0
233 3.140364 29.30635 3.10463 17.4752 0.1578252 0 0 4.905735 4.905735 0.3386667 10.84549
234 0 0.2452414 0.9060722 0 0 3.155758 2.770909 0 0 0 0
235 0.2216727 9.091448 3.597639 0 24.28536 0.09236364 17.5183 0.3353786 0.3353786 2.161016 0
236 2.549236 0 18.70106 0 8.621204 30.26448 13.11564 0.006576052 0.006576052 0 0
237 7.832436 0.4028966 0.9527082 8.636 4.853126 0 10.11382 9.712829 9.712829 4.515556 1.297542
238 6.567055 23.10524 7.521731 29.1846 24.60101 0 3.201939 30.86799 30.86799 7.43454 20.35672
239 29.10378 35.20966 19.1008 8.2296 19.33359 1.09297 23.56812 1.920207 1.920207 0.3547937 0.8323856
240 2.549236 2.592552 6.569023 0 0.8483107 12.05345 28.17091 1.933359 1.933359 0.03225397 0
241 19.56262 34.68414 29.54062 3.9116 12.54711 7.327515 11.22218 13.0995 13.0995 5.708952 2.717494
242 0 0 0 0 0 0 0 0 0 0 0
243 0.009236364 0 0.06662295 0 0 0 0 0.5392363 0.5392363 1.096635 0
244 0.07389091 0.7006897 0.1932066 0 24.79829 0 15.9943 0.04603236 0.04603236 0.4838095 0
245 0.9051637 5.044966 15.36991 0 30.04598 29.35624 33.35867 0 0 0 1.003759
246 15.99738 18.62083 5.86282 18.161 4.340194 0 0.01539394 8.331858 8.331858 2.096508 13.66092
247 4.535055 6.604 5.263213 0.8636 0.01972816 0 4.387273 8.963159 8.963159 5.257397 2.656289
248 1.477818 6.183586 3.271187 31.8516 0.05918447 0.01539394 0.04618182 14.50677 14.50677 12.3694 16.92925
249 0 16.41366 0 1.8288 0 0 0 0.006576052 0.006576052 0 0.7589398
250 1.034473 0.01751724 5.882807 0.3048 0.1578252 0 0.8774546 6.490563 6.490563 0.1290159 0
251 34.73796 41.90124 37.32884 59.9948 2.722485 26.69309 9.436485 54.65357 54.65357 23.67441 23.5761
252 18.74982 35.77021 1.905416 0.3556 0.07891262 0 0.4310303 2.972375 2.972375 5.128381 6.47547
253 0 24.33145 0 0 0.1578252 0 0 1.111353 1.111353 0 1.762699
254 3.870036 5.202621 1.665574 0.0254 36.00388 0 8.297333 0.5786926 0.5786926 0.01612698 0.1836145
255 0.4987637 3.083035 3.91743 0 46.34144 0 3.094182 0.2893463 0.2893463 0 13.75884
256 12.94015 6.306207 10.87287 0.7874 52.35852 1.354667 29.75648 3.261722 3.261722 4.015619 5.288096
257 25.41847 10.30014 12.73165 2.1336 0 1.893455 0.01539394 22.27309 22.27309 9.853587 3.256096
258 0 0 0 0 0 0 0 2.433139 2.433139 1.951365 0
259 0 0 0 0 0 0 0 0.09864078 0.09864078 0.6128254 0.2203374
260 0 0.05255173 0 0 0 0 0 0.04603236 0.04603236 0 0
261 0 0.08758621 0 0.0254 0 0 0 0 0 0 0
262 0.01847273 0.7357242 0 0.762 0 0.01539394 0 0 0 0 0.04896386
263 1.838036 0.3503448 0.7395148 0.0762 38.76583 0 15.68642 0.9666796 0.9666796 6.628191 0.673253
264 14.21476 1.156138 16.78232 0.254 32.68955 18.44194 17.73382 9.12756 9.12756 1.70946 0.1713735
265 0 0 0 0 0 0 0 0 0 0 0
266 0 0 0 0 0 0 0 0 0 0 0
267 16.00662 2.487448 12.7583 2.0828 0.09864078 0 0.7081212 4.458563 4.458563 1.354667 0.7466988
268 0.1847273 20.28497 0.6728918 19.7612 0 3.309697 0.2309091 10.50195 10.50195 16.20762 7.026313
